Plate,Row,Column,final_ngul,band_intensity,rank_ngul,predict_MW,band_MW,band_notes
IV,F,8,4.619109462,0,0.122,119.6709,,maybe 110 band mixed with background
IV,F,9,103.262437,6,0.72,67.43797,64,
IV,F,10,130.3317015,5,0.84,54.87956,52,
IV,F,11,85.90907456,5,0.626,83.17159,70,
IV,F,12,67.91592576,4,0.52,57.01971,83,
IV,G,1,48.02440434,5,0.379,55.26087,54,
IV,G,2,61.24147441,4,0.473,79.87889,95,
IV,G,3,134.3648401,7,0.861,86.30822,81,
IV,G,4,25.91940403,3,0.254,204.1469,180,
IV,G,5,67.8246961,6,0.519,49.8956,52,
IV,G,6,53.04847611,2,0.419,93.22317,89,
IV,G,7,0,0,0.001,47.82471,0,may actually be expressed
IV,G,8,0,0,0.001,70.37375,0,
IV,G,9,97.20524956,6,0.699,50.33941,53,
IV,G,10,82.81070525,5,0.608,71.95403,67,
IV,G,11,50.503343,0,0.401,83.5024,0,other faint bands
IV,G,12,48.44169523,4,0.383,114.304,96,other faint bands
IV,H,1,75.81267859,4,0.563,51.66415,52,
IV,H,2,29.44262405,3,0.281,116.3018,73,
IV,H,3,29.95248298,6,0.288,130.9255,95,
IV,H,4,69.64364755,5,0.535,57.87607,55,
IV,H,5,12.10860085,4,0.166,51.2278,54,
IV,H,6,60.17963166,0,0.459,147.6634,,other faint bands
IV,H,7,12.11861288,2,0.168,69.39382,63,
IV,H,8,44.47331039,4,0.361,62.20502,59,
IV,H,9,5.77280374,0,0.125,36.09589,0,
IV,H,10,64.0237015,6,0.491,86.24729,57,
IV,H,11,21.65771149,4,0.226,166.1689,120,"99,89"
IV,H,12,80.99360279,5,0.595,54.46644,61,
V,A,1,87.21340136,6,0.632,59.18153,60,
V,A,2,99.28223335,7,0.708,117.4942,105,
V,A,3,10.16795995,0,0.154,54.72084,0,
V,A,4,3.66489892,0,0.12,124.2254,0,
V,A,5,109.4279872,6,0.744,53.64463,53,
V,A,6,86.42752671,7,0.629,59.08577,33,
V,A,7,48.4146404,2,0.382,84.61043,90,
V,A,8,55.21036759,4,0.428,43.34854,46,
V,A,9,27.48480842,0,0.269,156.8838,0,
V,A,10,51.301486,0,0.41,105.2935,,other faint bands
V,A,11,0,0,0.001,95.24495,0,
V,A,12,95.02445829,6,0.683,194.8651,130,
V,B,1,52.63759247,4,0.418,52.83785,52,other faint bands
V,B,2,0,0,0.001,85.26939,0,
V,B,3,74.74046698,6,0.558,86.67794,74,
V,B,4,71.54763877,4,0.538,72.84664,74,other faint bands
V,B,5,150.8263981,8,0.901,78.1997,71,
V,B,6,18.86376574,4,0.205,85.13036,120,
